Order ID,Order Date,Region,Segment,Category,Sub-Category,Quantity,Unit Price (NGN),Discount,Sales (NGN),Profit (NGN)
NG-2025114,2025-07-15,Kano,Small Business,Furniture,Bookcases,7,135000.0,0.2,945000.0,120334.2
NG-2025115,2025-09-15,Lagos,Consumer,Furniture,Storage,10,79200.0,0.1,792000.0,-90978.93
NG-2025116,2025-03-15,Lagos,Small Business,Furniture,Storage,7,125000.0,0.0,875000.0,165799.27
NG-2025117,2025-12-21,Port Harcourt,Small Business,Office Supplies,Labels,7,5600.0,0.2,39200.0,12267.3
NG-2025118,2025-09-07,Port Harcourt,Small Business,Technology,Laptops,9,76300.0,0.2,686700.0,46081.13
NG-2025119,2025-02-16,Abuja,Small Business,Technology,Copiers,7,189400.0,0.2,1325800.0,318314.53
NG-2025120,2025-06-03,Abuja,Small Business,Furniture,Storage,1,54900.0,0.0,54900.0,7062.9
NG-2025121,2025-05-06,Kano,Consumer,Office Supplies,Labels,9,4600.0,0.0,41400.0,11196.63
NG-2025122,2025-07-15,Lagos,Small Business,Furniture,Tables,10,109100.0,0.15,1091000.0,26384.24
NG-2025123,2025-05-11,Kano,Small Business,Furniture,Tables,8,72700.0,0.1,581600.0,-85327.06
NG-2025124,2025-06-26,Lagos,Corporate,Office Supplies,Paper,10,4000.0,0.2,40000.0,13620.29
NG-2025125,2025-07-16,Port Harcourt,Consumer,Office Supplies,Envelopes,8,3200.0,0.0,25600.0,5000.73
NG-2025126,2025-12-04,Port Harcourt,Consumer,Technology,Copiers,7,104900.0,0.2,734300.0,140605.42
NG-2025127,2025-09-12,Ibadan,Small Business,Technology,Phones,5,165100.0,0.0,825500.0,88765.68
NG-2025128,2025-12-14,Ibadan,Corporate,Furniture,Tables,12,116200.0,0.0,1394400.0,123124.52
NG-2025129,2025-08-14,Lagos,Corporate,Technology,Phones,1,141500.0,0.0,141500.0,32982.23
NG-2025130,2025-04-13,Kano,Consumer,Office Supplies,Labels,3,6200.0,0.0,18600.0,5935.54
NG-2025131,2025-09-04,Abuja,Corporate,Technology,Copiers,5,161600.0,0.0,808000.0,108820.48
NG-2025132,2025-12-13,Abuja,Consumer,Office Supplies,Binders,12,5700.0,0.15,68400.0,13635.74
NG-2025133,2025-05-16,Kano,Consumer,Office Supplies,Binders,9,3300.0,0.2,29700.0,5706.75
NG-2025134,2025-11-23,Ibadan,Corporate,Technology,Copiers,6,85000.0,0.0,510000.0,55312.29
NG-2025135,2025-11-28,Ibadan,Consumer,Technology,Copiers,2,148200.0,0.2,296400.0,49222.22
NG-2025136,2025-01-24,Lagos,Consumer,Office Supplies,Envelopes,1,4100.0,0.0,4100.0,914.94
NG-2025137,2025-07-09,Kano,Corporate,Furniture,Tables,11,131700.0,0.15,1448700.0,135843.73
NG-2025138,2025-02-20,Kano,Small Business,Office Supplies,Paper,8,5500.0,0.0,44000.0,14729.58
NG-2025139,2025-08-16,Abuja,Corporate,Furniture,Bookcases,4,123700.0,0.2,494800.0,-57013.77
NG-2025140,2025-05-22,Lagos,Corporate,Office Supplies,Labels,4,7100.0,0.1,28400.0,9577.98
NG-2025141,2025-01-26,Ibadan,Consumer,Furniture,Tables,6,71700.0,0.15,430200.0,-45569.64
NG-2025142,2025-10-28,Ibadan,Consumer,Furniture,Chairs,4,120100.0,0.0,480400.0,-32883.6
NG-2025143,2025-03-08,Port Harcourt,Consumer,Technology,Phones,9,102100.0,0.2,918900.0,86031.35
NG-2025144,2025-05-02,Lagos,Corporate,Furniture,Tables,10,78500.0,0.0,785000.0,-69875.86
NG-2025145,2025-02-02,Ibadan,Consumer,Furniture,Storage,8,89100.0,0.15,712800.0,-16598.52
NG-2025146,2025-11-11,Ibadan,Consumer,Furniture,Storage,1,112800.0,0.2,112800.0,18957.52
NG-2025147,2025-01-16,Kano,Small Business,Technology,Copiers,1,191800.0,0.1,191800.0,50217.97
NG-2025148,2025-08-16,Kano,Small Business,Technology,Phones,2,179900.0,0.0,359800.0,46963.96
NG-2025149,2025-11-21,Port Harcourt,Small Business,Furniture,Tables,10,97600.0,0.15,976000.0,-35316.65
NG-2025150,2025-11-06,Kano,Small Business,Technology,Copiers,7,83900.0,0.2,587300.0,132403.76
NG-2025151,2025-04-27,Kano,Corporate,Technology,Accessories,7,112700.0,0.1,788900.0,128886.32
NG-2025152,2025-06-10,Port Harcourt,Corporate,Technology,Phones,11,102600.0,0.2,1128600.0,325486.13
NG-2025153,2025-02-17,Lagos,Consumer,Office Supplies,Binders,7,3100.0,0.0,21700.0,6177.97
NG-2025154,2025-10-15,Ibadan,Small Business,Technology,Phones,6,152400.0,0.2,914400.0,139630.85
NG-2025155,2025-06-09,Port Harcourt,Small Business,Office Supplies,Binders,6,3200.0,0.0,19200.0,4355.58
NG-2025156,2025-06-29,Abuja,Consumer,Technology,Laptops,9,116100.0,0.15,1044900.0,251456.66
NG-2025157,2025-11-11,Ibadan,Small Business,Furniture,Storage,11,105600.0,0.2,1161600.0,-163566.24
NG-2025158,2025-05-20,Lagos,Consumer,Technology,Copiers,12,163500.0,0.0,1962000.0,550114.15
NG-2025159,2025-12-03,Abuja,Small Business,Furniture,Tables,7,56900.0,0.0,398300.0,43549.79
NG-2025160,2025-08-21,Kano,Corporate,Furniture,Tables,6,64400.0,0.0,386400.0,-15814.16
NG-2025161,2025-03-22,Lagos,Consumer,Technology,Phones,10,78000.0,0.1,780000.0,54908.4
NG-2025162,2025-08-15,Kano,Small Business,Technology,Laptops,7,104800.0,0.0,733600.0,175136.57
NG-2025163,2025-12-14,Lagos,Corporate,Office Supplies,Envelopes,11,5400.0,0.0,59400.0,13764.97
NG-2025164,2025-01-29,Kano,Small Business,Furniture,Tables,1,68400.0,0.0,68400.0,12371.06
NG-2025165,2025-01-04,Port Harcourt,Consumer,Office Supplies,Labels,8,6100.0,0.1,48800.0,7023.48
NG-2025166,2025-12-09,Ibadan,Small Business,Technology,Accessories,6,80600.0,0.0,483600.0,128367.31
NG-2025167,2025-06-10,Kano,Consumer,Office Supplies,Binders,10,4600.0,0.2,46000.0,9250.86
NG-2025168,2025-01-11,Lagos,Corporate,Office Supplies,Labels,6,3500.0,0.1,21000.0,7074.98
NG-2025169,2025-02-24,Lagos,Corporate,Technology,Copiers,4,124300.0,0.0,497200.0,74635.91
NG-2025170,2025-06-20,Port Harcourt,Consumer,Office Supplies,Labels,3,3000.0,0.15,9000.0,2324.76
NG-2025171,2025-11-27,Port Harcourt,Corporate,Technology,Accessories,3,100400.0,0.0,301200.0,26087.25
NG-2025172,2025-11-18,Lagos,Consumer,Furniture,Tables,8,90400.0,0.15,723200.0,34212.73
NG-2025173,2025-08-14,Port Harcourt,Consumer,Office Supplies,Labels,2,4800.0,0.0,9600.0,2475.32
NG-2025174,2025-02-07,Port Harcourt,Small Business,Technology,Phones,5,127400.0,0.0,637000.0,37838.95
NG-2025175,2025-11-01,Lagos,Small Business,Office Supplies,Binders,9,4400.0,0.2,39600.0,9705.26
NG-2025176,2025-04-07,Ibadan,Small Business,Furniture,Storage,6,102400.0,0.0,614400.0,15654.02
NG-2025177,2025-02-13,Port Harcourt,Small Business,Office Supplies,Binders,9,5600.0,0.2,50400.0,5533.19
NG-2025178,2025-11-09,Ibadan,Small Business,Office Supplies,Envelopes,3,4300.0,0.1,12900.0,4250.35
NG-2025179,2025-11-20,Ibadan,Consumer,Office Supplies,Labels,11,4200.0,0.15,46200.0,8427.93
NG-2025180,2025-12-03,Port Harcourt,Corporate,Technology,Laptops,10,176800.0,0.15,1768000.0,235746.02
NG-2025181,2025-12-02,Port Harcourt,Corporate,Technology,Accessories,12,151500.0,0.2,1818000.0,149508.53
NG-2025182,2025-11-26,Ibadan,Corporate,Furniture,Bookcases,6,120100.0,0.2,720600.0,60920.06
NG-2025183,2025-07-05,Kano,Small Business,Technology,Phones,1,115500.0,0.0,115500.0,10980.09
NG-2025184,2025-03-12,Abuja,Consumer,Office Supplies,Envelopes,3,3000.0,0.0,9000.0,2799.96
NG-2025185,2025-03-09,Port Harcourt,Small Business,Technology,Phones,10,117200.0,0.2,1172000.0,106138.43
NG-2025186,2025-07-30,Kano,Consumer,Technology,Accessories,6,153200.0,0.1,919200.0,100544.44
NG-2025187,2025-10-01,Kano,Consumer,Technology,Copiers,4,109100.0,0.1,436400.0,110040.86
NG-2025188,2025-08-25,Ibadan,Corporate,Furniture,Bookcases,5,117100.0,0.1,585500.0,15233.15
NG-2025189,2025-05-09,Ibadan,Consumer,Furniture,Tables,1,105500.0,0.15,105500.0,16451.77
NG-2025190,2025-03-24,Port Harcourt,Consumer,Furniture,Chairs,5,89200.0,0.1,446000.0,13234.36
NG-2025191,2025-01-14,Kano,Corporate,Furniture,Tables,7,55500.0,0.0,388500.0,9985.42
NG-2025192,2025-01-15,Port Harcourt,Consumer,Office Supplies,Binders,6,6900.0,0.2,41400.0,12825.47
NG-2025193,2025-05-27,Abuja,Consumer,Office Supplies,Paper,8,5800.0,0.2,46400.0,6250.0
NG-2025194,2025-02-10,Ibadan,Consumer,Office Supplies,Envelopes,1,3900.0,0.15,3900.0,1204.09
NG-2025195,2025-05-02,Lagos,Corporate,Technology,Laptops,5,86600.0,0.2,433000.0,47461.08
NG-2025196,2025-09-13,Lagos,Consumer,Technology,Laptops,10,136300.0,0.15,1363000.0,283488.65
NG-2025197,2025-01-01,Port Harcourt,Corporate,Furniture,Tables,10,81000.0,0.0,810000.0,40283.16
NG-2025198,2025-02-04,Ibadan,Corporate,Technology,Phones,9,137300.0,0.15,1235700.0,304727.43
NG-2025199,2025-01-23,Kano,Corporate,Technology,Phones,11,118400.0,0.2,1302400.0,186667.26
NG-2025200,2025-05-04,Lagos,Corporate,Furniture,Bookcases,12,106900.0,0.15,1282800.0,-145877.0
NG-2025201,2025-06-30,Abuja,Consumer,Technology,Copiers,9,112600.0,0.2,1013400.0,213522.27
NG-2025202,2025-02-02,Abuja,Consumer,Office Supplies,Envelopes,12,6200.0,0.0,74400.0,15952.84
NG-2025203,2025-06-11,Abuja,Consumer,Furniture,Chairs,5,94800.0,0.15,474000.0,92995.46
NG-2025204,2025-04-08,Lagos,Small Business,Office Supplies,Labels,5,4300.0,0.2,21500.0,6347.02
NG-2025205,2025-08-12,Lagos,Corporate,Office Supplies,Labels,7,6000.0,0.1,42000.0,13593.69
NG-2025206,2025-09-12,Kano,Small Business,Office Supplies,Paper,6,6900.0,0.0,41400.0,9514.51
NG-2025207,2025-11-05,Lagos,Corporate,Technology,Laptops,3,137500.0,0.0,412500.0,53749.93
NG-2025208,2025-11-05,Port Harcourt,Corporate,Office Supplies,Labels,12,4600.0,0.0,55200.0,15038.75
NG-2025209,2025-08-11,Port Harcourt,Small Business,Office Supplies,Binders,5,5600.0,0.0,28000.0,8340.34
NG-2025210,2025-12-14,Port Harcourt,Small Business,Furniture,Storage,3,132000.0,0.15,396000.0,-39610.77
NG-2025211,2025-02-04,Lagos,Consumer,Technology,Laptops,4,165400.0,0.1,661600.0,93670.73
NG-2025212,2025-12-14,Ibadan,Consumer,Technology,Phones,8,185900.0,0.0,1487200.0,212674.57
NG-2025213,2025-07-23,Ibadan,Corporate,Technology,Accessories,6,149900.0,0.0,899400.0,101095.18
NG-2025214,2025-07-18,Kano,Small Business,Furniture,Tables,9,61000.0,0.2,549000.0,66559.43
NG-2025215,2025-12-22,Ibadan,Corporate,Office Supplies,Paper,8,3600.0,0.0,28800.0,3857.24
NG-2025216,2025-12-16,Kano,Consumer,Office Supplies,Paper,6,5700.0,0.15,34200.0,9486.57
NG-2025217,2025-12-31,Port Harcourt,Consumer,Technology,Copiers,12,183300.0,0.0,2199600.0,460651.24
NG-2025218,2025-03-13,Lagos,Consumer,Technology,Accessories,4,166800.0,0.15,667200.0,37744.18
NG-2025219,2025-03-08,Kano,Small Business,Technology,Copiers,10,178100.0,0.1,1781000.0,118324.34
NG-2025220,2025-07-29,Ibadan,Corporate,Technology,Laptops,10,80900.0,0.2,809000.0,237113.8
NG-2025221,2025-09-22,Kano,Small Business,Furniture,Storage,6,61900.0,0.15,371400.0,52058.69
NG-2025222,2025-09-15,Abuja,Corporate,Technology,Accessories,1,171800.0,0.0,171800.0,30842.49
NG-2025223,2025-04-26,Port Harcourt,Small Business,Furniture,Tables,6,131500.0,0.0,789000.0,24943.63
NG-2025224,2025-10-10,Abuja,Small Business,Furniture,Bookcases,5,61600.0,0.15,308000.0,-13555.51
NG-2025225,2025-03-20,Ibadan,Small Business,Furniture,Tables,3,107000.0,0.15,321000.0,32813.09
NG-2025226,2025-01-24,Lagos,Consumer,Office Supplies,Binders,11,6200.0,0.0,68200.0,11332.38
NG-2025227,2025-01-16,Ibadan,Small Business,Technology,Laptops,8,178700.0,0.2,1429600.0,266469.39
NG-2025228,2025-07-27,Abuja,Small Business,Office Supplies,Envelopes,5,4700.0,0.0,23500.0,6395.6
NG-2025229,2025-04-15,Kano,Corporate,Office Supplies,Envelopes,6,5400.0,0.2,32400.0,5771.92
NG-2025230,2025-07-09,Kano,Consumer,Office Supplies,Labels,9,5200.0,0.1,46800.0,8413.66
NG-2025231,2025-03-14,Kano,Consumer,Furniture,Bookcases,2,55300.0,0.15,110600.0,20005.85
NG-2025232,2025-10-23,Abuja,Corporate,Office Supplies,Paper,12,4100.0,0.1,49200.0,14306.39
NG-2025233,2025-09-12,Kano,Corporate,Technology,Laptops,1,82800.0,0.1,82800.0,12280.11
NG-2025234,2025-01-25,Ibadan,Corporate,Furniture,Tables,1,74900.0,0.2,74900.0,4428.95
NG-2025235,2025-01-05,Port Harcourt,Small Business,Technology,Laptops,2,123700.0,0.2,247400.0,66949.89
NG-2025236,2025-07-25,Port Harcourt,Consumer,Office Supplies,Envelopes,1,5300.0,0.15,5300.0,787.92
NG-2025237,2025-08-19,Kano,Small Business,Office Supplies,Binders,9,4000.0,0.2,36000.0,12501.82
NG-2025238,2025-07-21,Abuja,Consumer,Technology,Phones,6,167400.0,0.0,1004400.0,135364.32
NG-2025239,2025-07-25,Ibadan,Small Business,Furniture,Tables,9,54400.0,0.2,489600.0,-66771.7
NG-2025240,2025-03-18,Ibadan,Corporate,Office Supplies,Envelopes,10,6700.0,0.15,67000.0,9041.33
NG-2025241,2025-06-03,Kano,Small Business,Office Supplies,Paper,10,4200.0,0.15,42000.0,12897.04
NG-2025242,2025-07-08,Kano,Consumer,Office Supplies,Labels,6,5700.0,0.15,34200.0,11798.13
NG-2025243,2025-05-16,Ibadan,Corporate,Office Supplies,Binders,11,6200.0,0.15,68200.0,20053.56
NG-2025244,2025-03-29,Ibadan,Corporate,Furniture,Chairs,9,104500.0,0.1,940500.0,62926.53
NG-2025245,2025-12-25,Lagos,Small Business,Furniture,Tables,2,67200.0,0.1,134400.0,586.45
NG-2025246,2025-09-14,Abuja,Corporate,Furniture,Storage,10,129200.0,0.2,1292000.0,200888.17
NG-2025247,2025-04-17,Abuja,Small Business,Technology,Phones,9,111000.0,0.15,999000.0,215341.14
